STATE,District Name,Market Name,Commodity,Variety,Grade
Maharashtra,ahmednagar,Sangamner,Tomato,Other,FAQ
Karnataka,udupi,Udupi,Tomato,Tomato,FAQ
Haryana,rohtak,Sampla,Tomato,Other,FAQ
Haryana,mewat,Nuh,Onion,Other,FAQ
Rajasthan,bikaner,Nokha,Wheat,Other,FAQ
Madhya Pradesh,rajgarh,Pachaur,Wheat,147 Average,FAQ
Rajasthan,hanumangarh,Hanumangarh,Tomato,Deshi,FAQ
Uttar Pradesh,maharajganj,Partaval,Tomato,Hybrid,FAQ
Maharashtra,amarawati,Chandur Bazar,Wheat,Other,FAQ
Punjab,sangrur,Dhuri,Potato,Local,FAQ
Madhya Pradesh,dewas,Haatpipliya,Potato,Potato,FAQ
Madhya Pradesh,rajgarh,Biaora,Tomato,Deshi,FAQ
Rajasthan,hanumangarh,Hanumangarh,Potato,(Red Nanital),FAQ
Haryana,karnal,"New Grain Market(main), Karnal",Tomato,Other,FAQ
Haryana,panchkula,"New Grain Market , Panchkula",Tomato,Other,FAQ
Uttar Pradesh,jhansi,Chirgaon,Wheat,Dara,FAQ
Gujarat,porbandar,Porbandar,Wheat,Other,FAQ
Uttar Pradesh,ghaziabad,Hapur,Potato,Desi,FAQ
Punjab,ludhiana,Ludhiana,Onion,Other,FAQ
Maharashtra,pune,Pune,Wheat,Sharbati,FAQ
Uttar Pradesh,gorakhpur,Chorichora,Wheat,Dara,FAQ
Uttar Pradesh,amroha,Amroha,Onion,Red,FAQ
Punjab,hoshiarpur,Garh Shankar(Mahalpur),Tomato,Tomato,FAQ
Uttar Pradesh,saharanpur,Gangoh,Tomato,Deshi,FAQ
Madhya Pradesh,burhanpur,Burhanpur,Wheat,Other,FAQ
Maharashtra,nashik,Lasalgaon,Onion,Other,FAQ
Uttar Pradesh,gonda,Nawabganj,Tomato,Hybrid,FAQ
Maharashtra,jalgaon,Parola,Wheat,Kalyan,FAQ
Orissa,angul,Angul(Jarapada),Tomato,Other,FAQ
Madhya Pradesh,bhopal,Bhopal,Wheat,Lokwan MP No. 1,FAQ
